floor_x ,floor_y ,floor_z ,floor_qx ,floor_qy ,floor_qz ,floor_qw ,robot_x ,robot_y ,robot_z ,robot_qx ,robot_qy ,robot_qz ,robot_qw ,est_rb_x ,est_rb_y ,est_rb_z ,est_rb_qx ,est_rb_qy ,est_rb_qz ,est_rb_qw ,est_rb-floor_x ,est_rb-floor_y ,est_rb-floor_z ,est_rb-floor_roll ,est_rb-floor_pitch ,est_rb-floor_yaw
0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,-0.006899165 ,0.0058185696 ,-0.09349657 ,0.0009737454 ,0.00014147664 ,0.009643222 ,0.99995303 ,0.03197007759041036 ,-0.00013964276527686503 ,-0.14008910022039317 ,0.9989999335576397 ,-0.024923373594992023 ,0.02666369854379382 ,0.02582644730584768 ,0.03197007759041036 ,-0.00013964276527686503 ,-0.14008910022039317 ,3.09122422307 ,-0.0545885379723 ,-0.0485108972529
0.5 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.49968308 ,-0.032498218 ,-0.22888355 ,-0.00297358 ,0.009905822 ,0.005551105 ,0.9999311 ,0.5044658266327122 ,0.058554326153912706 ,0.006087156398349308 ,0.998677649334478 ,-0.020673776604260487 ,0.036248218849547285 ,0.03002689312789035 ,0.004465826632712222 ,0.058554326153912706 ,0.006087156398349308 ,3.08292419529 ,-0.0737088356774 ,-0.0392325977654
0.5 ,0.5 ,0.0 ,0.0 ,0.0 ,0.70710677 ,0.70710677 ,0.54260683 ,-0.5203119 ,-0.14232638 ,-1.165645e-05 ,-0.0028738612 ,-0.7047595 ,0.7094405 ,0.5912599368499829 ,0.5305022097457078 ,-0.09444076893337905 ,0.7197238644068763 ,0.6932304667508858 ,-0.0033152868874107744 ,0.03765750714579092 ,0.0912599368499829 ,0.03050220974570783 ,-0.09444076893337905 ,3.09188194613 ,0.0570137274771 ,-0.0389140915564
0.0 ,0.5 ,0.0 ,-0.0 ,0.0 ,1.0 ,-4.371139e-08 ,0.028744802 ,-0.5289644 ,-0.17167282 ,-0.00019761531 ,0.0016115564 ,0.99999595 ,-0.0023395047 ,0.10854338507870054 ,0.5256584595579055 ,-0.09314010696275854 ,0.017703392900059903 ,0.999093668315079 ,-0.02859728177247798 ,0.026088834542208946 ,0.10854338507870054 ,0.025658459557905466 ,-0.09314010696275854 ,-3.08526431205 ,0.0531679625847 ,-0.0339371040037
-0.5 ,0.5 ,0.0 ,-0.0 ,0.0 ,1.0 ,-4.371139e-08 ,-0.534842 ,-0.46403253 ,-0.21153504 ,0.0005694469 ,-0.0071008317 ,0.99867713 ,-0.050923787 ,-0.4277299032249653 ,0.4482537360930998 ,-0.08109671245131578 ,0.06597781283824934 ,0.9972472755807731 ,-0.018592951837866037 ,0.028268386967799906 ,0.07227009677503471 ,-0.05174626390690018 ,-0.08109671245131578 ,-3.10817518901 ,0.0588685840922 ,-0.131143402897
-0.5 ,0.0 ,0.0 ,0.0 ,0.0 ,-0.70710677 ,0.70710677 ,-0.55549365 ,0.054965425 ,-0.26048526 ,0.00323463 ,-0.002478231 ,0.7342284 ,0.67889035 ,-0.49463915662877544 ,-0.055323683069081864 ,-0.012236878415553099 ,-0.6672336608620207 ,0.7440019463491614 ,-0.03525479679888642 ,0.004176714497601056 ,0.005360843371224555 ,-0.055323683069081864 ,-0.012236878415553099 ,-3.0834785473 ,-0.0408427610642 ,-0.109875991026
-0.5 ,-0.5 ,0.0 ,0.0 ,0.0 ,-0.70710677 ,0.70710677 ,-0.55472744 ,0.5556758 ,-0.32775024 ,-0.0014379969 ,-0.0037255092 ,0.7357604 ,0.6772302 ,-0.5406892002505121 ,-0.5395513507580117 ,0.07346557214993088 ,-0.6654577344131084 ,0.7456636505552023 ,-0.033934842715624775 ,-0.0003878148112933909 ,-0.04068920025051215 ,-0.03955135075801175 ,0.07346557214993088 ,-3.09142731843 ,-0.0457587329892 ,-0.114702862535
0.0 ,-0.5 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,-0.022541417 ,0.67688173 ,-0.3350125 ,0.0045745857 ,0.0018406224 ,0.05419536 ,0.99851817 ,-0.052270125995271144 ,-0.6419501126935244 ,0.1118953823155509 ,0.9969366282096822 ,-0.069276162536369 ,0.029584141211033612 ,0.021046406509179428 ,-0.052270125995271144 ,-0.14195011269352442 ,0.1118953823155509 ,3.10364587362 ,-0.0619426601606 ,-0.137579237648
0.5 ,-0.5 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.5372817 ,0.49010998 ,-0.09921956 ,8.081453e-05 ,-0.0009080794 ,0.0021724515 ,0.9999972 ,0.5000173325876229 ,-0.4558830789067114 ,-0.08480746764345803 ,0.9991619350622192 ,-0.01751129588523982 ,0.02540039741239041 ,0.026899848520653205 ,1.7332587622931328e-05 ,0.044116921093288575 ,-0.08480746764345803 ,3.08863208389 ,-0.0517233824541 ,-0.0336781039837
1.0 ,-0.5 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,1.0306548 ,0.497985 ,-0.16542625 ,0.0039449083 ,0.002561539 ,0.012894356 ,0.9999058 ,0.9592327921403019 ,-0.4460469430326697 ,-6.853839933684824e-05 ,0.9989198069758319 ,-0.028027638538586887 ,0.029213978896098763 ,0.02280820348855492 ,-0.04076720785969812 ,0.053953056967330326 ,-6.853839933684824e-05 ,3.09757055643 ,-0.0596787830775 ,-0.054786979654
