floor_x ,floor_y ,floor_z ,floor_qx ,floor_qy ,floor_qz ,floor_qw ,est_cam_x ,est_cam_y ,est_cam_z ,est_cam_qx ,est_cam_qy ,est_cam_qz ,est_cam_qw ,est_rb_x ,est_rb_y ,est_rb_z ,est_rb_qx ,est_rb_qy ,est_rb_qz ,est_rb_qw ,est_cam-est_rb_x ,est_cam-est_rb_y ,est_cam-est_rb_z ,est_cam-est_rb_roll ,est_cam-est_rb_pitch ,est_cam-est_rb_yaw
0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,-0.007573168075031056 ,0.009389145040280163 ,0.03931329707432352 ,0.9994575074392005 ,-0.01602015216440078 ,0.016894667721682 ,0.023294114076816464 ,0.03197007759041036 ,-0.00013964276527686503 ,-0.14008910022039317 ,0.9989999335576397 ,-0.024923373594992023 ,0.02666369854379382 ,0.02582644730584768 ,-0.039543245665441415 ,0.009528787805557028 ,0.1794023972947167 ,0.00524621709663 ,-0.0191626075865 ,-0.0182324145874
0.5 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.4853348460364302 ,0.025282819095599644 ,0.013213485638342348 ,0.999273406648229 ,-0.012402079547695457 ,-0.031920920819582824 ,-0.016730272041003965 ,0.5044658266327122 ,0.058554326153912706 ,0.006087156398349308 ,0.998677649334478 ,-0.020673776604260487 ,0.036248218849547285 ,0.03002689312789035 ,-0.019130980596282043 ,-0.03327150705831306 ,0.00712632923999304 ,0.0930826351397 ,-0.136802371988 ,-0.0236910406241
0.5 ,0.5 ,0.0 ,0.0 ,0.0 ,0.70710677 ,0.70710677 ,0.5301758489470771 ,0.5079310330969344 ,0.0003271305363836685 ,0.7092508677494214 ,0.7040298619715706 ,-0.035826289964031616 ,0.004651558491219404 ,0.5912599368499829 ,0.5305022097457078 ,-0.09444076893337905 ,0.7197238644068763 ,0.6932304667508858 ,-0.0033152868874107744 ,0.03765750714579092 ,-0.06108408790290576 ,-0.022571176648773394 ,0.09476789946976272 ,0.091749902743 ,0.00120905028027 ,-0.0327134223981
0.0 ,0.5 ,0.0 ,-0.0 ,0.0 ,1.0 ,-4.371139e-08 ,0.02638707800036122 ,0.5222601109413987 ,0.033637904187843626 ,0.0023171969760306128 ,0.9977741105235695 ,-0.06638053532272763 ,0.005922794723968791 ,0.10854338507870054 ,0.5256584595579055 ,-0.09314010696275854 ,0.017703392900059903 ,0.999093668315079 ,-0.02859728177247798 ,0.026088834542208946 ,-0.08215630707833932 ,-0.0033983486165067855 ,0.12677801115060217 ,0.074891311651 ,0.0392561191421 ,-0.0323836182445
-0.5 ,0.5 ,0.0 ,-0.0 ,0.0 ,1.0 ,-4.371139e-08 ,-0.4578954318959447 ,0.5111749201427243 ,0.010823160639817475 ,0.008537347638267726 ,0.9989971660246307 ,-0.03552928100130592 ,0.025873657677063247 ,-0.4277299032249653 ,0.4482537360930998 ,-0.08109671245131578 ,0.06597781283824934 ,0.9972472755807731 ,-0.018592951837866037 ,0.028268386967799906 ,-0.030165528670979436 ,0.06292118404962443 ,0.09191987309113325 ,0.0307032007755 ,0.00228645938272 ,-0.115885695446
-0.5 ,0.0 ,0.0 ,0.0 ,0.0 ,-0.70710677 ,0.70710677 ,-0.4939376202796284 ,0.029612646227391015 ,0.020948965258960506 ,-0.6990447725928529 ,0.714045890624366 ,-0.02628655000248629 ,0.027998022823571216 ,-0.49463915662877544 ,-0.055323683069081864 ,-0.012236878415553099 ,-0.6672336608620207 ,0.7440019463491614 ,-0.03525479679888642 ,0.004176714497601056 ,0.0007015363491470472 ,0.08493632929647288 ,0.033185843674513604 ,0.022428207634 ,-0.0489950618671 ,-0.0861626586356
-0.5 ,-0.5 ,0.0 ,0.0 ,0.0 ,-0.70710677 ,0.70710677 ,-0.5037692789479133 ,-0.46517634523691564 ,-0.0007065221497910557 ,-0.7025406601277914 ,0.7099858228075254 ,0.009841709950502075 ,0.047538332162355104 ,-0.5406892002505121 ,-0.5395513507580117 ,0.07346557214993088 ,-0.6654577344131084 ,0.7456636505552023 ,-0.033934842715624775 ,-0.0003878148112933909 ,0.0369199213025988 ,0.0743750055210961 ,-0.07417209429972194 ,0.0075964219128 ,-0.13210858346 ,-0.100330459415
0.0 ,-0.5 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,-0.008200958870808406 ,-0.4777101049761546 ,0.008682607701385514 ,0.9983695563797312 ,-0.009898705954804035 ,-0.013019737867260102 ,-0.054687575740990285 ,-0.052270125995271144 ,-0.6419501126935244 ,0.1118953823155509 ,0.9969366282096822 ,-0.069276162536369 ,0.029584141211033612 ,0.021046406509179428 ,0.04406916712446274 ,0.1642400077173698 ,-0.10321277461416539 ,0.154396872026 ,-0.0839928692092 ,-0.122916681488
0.5 ,-0.5 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.4885476889269258 ,-0.4772531315567081 ,0.0017824430191650809 ,0.9992185426170805 ,-0.0069349690634645965 ,-0.02610272833733706 ,-0.02885927697696798 ,0.5000173325876229 ,-0.4558830789067114 ,-0.08480746764345803 ,0.9991619350622192 ,-0.01751129588523982 ,0.02540039741239041 ,0.026899848520653205 ,-0.011469643660697137 ,-0.021370052649996696 ,0.08658991066262312 ,0.111760811032 ,-0.103021609431 ,-0.0269044169687
1.0 ,-0.5 ,0.0 ,0.0 ,0.0 ,0.0 ,1.0 ,0.9724804756334862 ,-0.47878956091087344 ,-0.02579925114495829 ,0.9996199116824018 ,-0.022478953318913444 ,0.013769855630666971 ,-0.008069690307800118 ,0.9592327921403019 ,-0.4460469430326697 ,-6.853839933684824e-05 ,0.9989198069758319 ,-0.028027638538586887 ,0.029213978896098763 ,0.02280820348855492 ,0.013247683493184281 ,-0.03274261787820376 ,-0.025730712745621442 ,0.0613743713607 ,-0.0320525701939 ,-0.011015048194
